File Name,File Type,Download URL
Vid_2032 - Noun.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2032 - Noun.mp4
Vid_2033 - Common and Proper nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2033 - Common and Proper nouns.mp4
Vid_2034 - Collective Nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2034 - Collective Nouns.mp4
Vid_2035 - Countable and Uncountable Nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2035 - Countable and Uncountable Nouns.mp4
Vid_2036 - Pronoun.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2036 - Pronoun.mp4
"Vid_2037 - Pronouns - Whom, what, where etc.mp4",mp4,"https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2037 - Pronouns - Whom, what, where etc.mp4"
Vid_2038 - First person pronoun usage.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2038 - First person pronoun usage.mp4
Vid_2039 - Second person pronoun usage.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2039 - Second person pronoun usage.mp4
Vid_2041 - Verbs.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2041 - Verbs.mp4
Vid_2042 - Helping verbs.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2042 - Helping verbs.mp4
Vid_2043 - Subject Verb agreement.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2043 - Subject Verb agreement.mp4
Vid_2044 - Phrasal verbs.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2044 - Phrasal verbs.mp4
Vid_2045 - Conjunctions.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2045 - Conjunctions.mp4
Vid_2046 - Contractions.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2046 - Contractions.mp4
Vid_2047 - Question.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2047 - Question.mp4
